player id,player
9261,Abraham Ancer
5548,Adam Hadwin
4989,Anirban Lahiri
6015,Adam Long
3832,Alexander Noren
5502,Andrew Putnam
10906,Aaron Rai
10372,Adam Schenk
388,Adam Scott
9484,Alex Smalley
9127,Adam Svensson
10577,Aaron Wise
10046,Bryson DeChambeau
9584,Brandon Hagy
1225,Brian Harman
4780,Bo Hoag
1651,Billy Horschel
6011,Beau Hossler
1222,Brandt Snedeker
3596,Brendan Steele
4355673,Brandon Wu
11098,Cameron Champ
9126,Corey Conners
10863,Cameron Davis
205,Charley Hoffman
208,Charles Howell III
5724,Chan Kim
3449,Chris Kirk
10910,Curtis Luck
10592,Collin Morikawa
5532,Carlos Ortiz
6017,C.T. Pan
9131,Cameron Smith
4645,Cameron Tringale
1264,Camilo Villegas
4425906,Cameron Young
9025,Daniel Berger
11456,Doug Ghim
3950,Danny Lee
5574,David Lingmerth
6701,David Lipsky
10054,Denny McCarthy
10058,Davis Riley
4304,Danny Willett
5882,Emiliano Grillo
9364,Erik van Rooyen
1483,Francesco Molinari
11393,Garrick Higgo
3550,Gary Woodland
5408,Harris English
5504,Hudson Swafford
6196,Joel Dahmen
1680,Jason Day
110,Jason Dufner
11099,Joaquin Niemann
4691933,John Pak
10505,J.T. Poston
9780,Jon Rahm
5467,Jordan Spieth
1030,Jhonattan Vegas
4513,Keegan Bradley
10363,Kramer Hickok
10364,Kurt Kitayama
7083,Kyoung-Hoon Lee
8906,Keith Mitchell
1077,Kevin Streelman
601,Luke Donald
676,Lucas Glover
5962,Lanto Griffin
10343,Lucas Herbert
1059,Luke List
9037,Matthew Fitzpatrick
8973,Max Homa
6931,Mackenzie Hughes
1367,Matt Jones
257,Matt Kuchar
2571,Martin Laird
4410932,Min Woo Lee
3351,Marc Leishman
6954,Matthew NeSmith
9931,Mito Pereira
4412121,Matthew Wolff
1600,Nate Lashley
1042,Nick Watney
6007,Patrick Cantlay
3980,Patton Kizzire
5692,Peter Malnati
707,Pat Perez
5579,Patrick Reed
6825,Patrick Rodgers
1548,Ryan Brehm
4321,Rafa Cabrera Bello
3702,Rickie Fowler
4483,Russell Knox
3470,Rory McIlroy
809,Ryan Moore
962,Ryan Palmer
5619,Robert Streb
78,Stewart Cink
11382,Sungjae Im
7081,Si Woo Kim
4587,Shane Lowry
6001,Seamus Power
7001,Sam Ryder
3378,Scott Stallings
8961,Sepp Straka
10980,Sahith Theegala
6086,Tom Hoge
3970,Troy Merritt
10664,Taylor Moore
4364873,Viktor Hovland
11119,Wyndham Clark
3532,William McGirt
9877,Will Zalatoris
10140,Xander Schauffele
774,Bill Haas
3599,Brian Stuard
3454,Brendon Todd
9243,Christiaan Bezuidenhout
769,Chez Reavie
5167,Dylan Frittelli
11448,Doc Redman
646,Erik Compton
11333,Greyson Sigg
4364752,Hayden Buckley
4844,Harry Higgs
6991,Harold Varner III
619,Ian Poulter
5025,James Hahn
5797,John Huh
3317,Jason Kokrak
569,Justin Rose
4848,Justin Thomas
2552,Kevin Kisner
318,Kevin Na
3793,Kevin Tway
4404991,Lee Hodges
9143,Mark Hubbard
9530,Maverick McNealy
5729,Matthias Schwab
3688,Michael Thompson
6151,Martin Trainer
3792,Nick Taylor
10831,Paul Barjon
377,Rory Sabbatini
9938,Sam Burns
6937,Stephan Jaeger
10404,Sebastian Munoz
1037,Scott Piercy
9478,Scottie Scheffler
9569,Tyler Duncan
2230,Tony Finau
5539,Tommy Fleetwood
9513,Talor Gooch
9626,Trey Mullinax
11447,Tyler Strafaci
4408315,Vincent Whaley
1614,Webb Simpson
686,Zach Johnson
11219,Alex Beach
512,Alex Cejka
4383,Branden Grace
6798,Brooks Koepka
780,Bubba Watson
4317,Bernd Wiesberger
1097,Charl Schwartzel
5830,Dean Burmester
3448,Dustin Johnson
5857,Daniel van Tonder
5860,Hideki Matsuyama
576,Henrik Stenson
97,John Daly
5825,Justin Harding
4602673,Joohyung Kim
10166,J.J. Spaun
1293,Louis Oosthuizen
455,Lee Westwood
3670,Martin Kaymer
186,Padraig Harrington
29,Rich Beem
4251,Ryan Fox
5409,Russell Henley
4350033,Rikuya Hoshino
4699314,Ryosuke Kinoshita
11378,Robert MacIntyre
3284,Ryan Vermeer
158,Sergio Garcia
10049,Sam Horsfield
307,Shaun Micheel
5057,Shaun Norris
4723205,Tyler Collet
5553,Tyrrell Hatton
4410612,Takumi Kanaya
9031,Thomas Pieters
4399256,Yuki Inamori
1350,Y.E. Yang
9517,Austin Cook
5951,Andrew Loupe
2283,Brice Garnett
5704,Chesson Hadley
1121,Cameron Percy
8975,Chase Seiffert
9687,Curtis Thompson
3455,Dawie van der Walt
4423323,Dylan Wu
11387,Hank Lebioda
5573,Henrik Norlander
5902,Joseph Bramlett
3598,Jim Herman
6894,Jim Knous
