,player_id,player,tournament_id,tournament,course,city,state,purse,no_cut,finish,position,made_cut,rounds_played,strokes,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
0,9261,Abraham Ancer,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T32,32.0,True,4,289,0.2,-0.13,-0.08,0.86,0.65,0.85
1,5548,Adam Hadwin,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T18,18.0,True,4,286,0.36,0.75,0.31,0.18,1.24,1.6
2,4989,Anirban Lahiri,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,CUT,0.0,False,2,147,-0.56,0.74,-1.09,0.37,0.02,-0.54
3,6015,Adam Long,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,CUT,0.0,False,2,151,-1.46,-1.86,-0.02,0.8,-1.08,-2.54
4,3832,Alexander Noren,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,CUT,0.0,False,2,148,0.53,-0.36,-1.39,0.19,-1.56,-1.04
5,5502,Andrew Putnam,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,CUT,0.0,False,2,151,-0.97,0.14,-2.02,0.31,-1.56,-2.54
6,10906,Aaron Rai,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T26,26.0,True,4,287,2.05,0.74,-1.32,-0.12,-0.7,1.35
7,10372,Adam Schenk,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T26,26.0,True,4,287,-0.96,-0.01,1.84,0.48,2.31,1.35
8,388,Adam Scott,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T67,67.0,True,4,299,-0.82,-1.79,2.0,-1.04,-0.83,-1.65
9,9484,Alex Smalley,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,CUT,0.0,False,2,151,-1.89,-0.71,0.71,-0.65,-0.65,-2.54
10,9127,Adam Svensson,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T45,45.0,True,4,291,0.28,-0.02,-0.18,0.26,0.07,0.35
11,10577,Aaron Wise,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,2,2.0,True,4,279,1.16,0.05,1.96,0.18,2.19,3.35
13,9584,Brandon Hagy,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,CUT,0.0,False,2,155,-0.94,-1.58,-1.41,-0.61,-3.6,-4.54
14,1225,Brian Harman,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T18,18.0,True,4,286,0.12,0.66,0.17,0.65,1.48,1.6
15,4780,Bo Hoag,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,CUT,0.0,False,2,151,-0.93,0.21,-1.4,-0.42,-1.6,-2.54
16,1651,Billy Horschel,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,1,1.0,True,4,275,0.95,1.31,1.25,0.84,3.39,4.35
17,6011,Beau Hossler,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T32,32.0,True,4,289,1.94,0.43,-1.5,-0.03,-1.09,0.85
18,1222,Brandt Snedeker,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T60,60.0,True,4,295,1.12,0.25,-1.1,-0.92,-1.77,-0.65
19,3596,Brendan Steele,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T10,10.0,True,4,284,0.2,-0.22,1.26,0.86,1.9,2.1
20,4355673,Brandon Wu,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,69,69.0,True,4,300,-2.44,0.3,0.12,0.12,0.54,-1.9
21,11098,Cameron Champ,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,CUT,0.0,False,2,149,-0.27,0.0,-1.63,0.36,-1.27,-1.54
22,9126,Corey Conners,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T13,13.0,True,4,285,-0.24,-0.47,2.03,0.53,2.09,1.85
23,10863,Cameron Davis,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T53,53.0,True,4,294,0.19,-0.88,0.88,-0.6,-0.59,-0.4
24,205,Charley Hoffman,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,CUT,0.0,False,2,147,-0.2,-0.47,0.14,0.0,-0.34,-0.54
25,208,Charles Howell III,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T18,18.0,True,4,286,0.52,-0.36,1.03,0.4,1.08,1.6
26,5724,Chan Kim,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T67,67.0,True,4,299,-1.4,-0.98,0.53,0.19,-0.26,-1.65
27,3449,Chris Kirk,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T53,53.0,True,4,294,-0.02,0.45,-1.28,0.45,-0.38,-0.4
28,10910,Curtis Luck,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,CUT,0.0,False,2,151,-3.48,-0.1,1.35,-0.3,0.94,-2.54
29,10592,Collin Morikawa,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,CUT,0.0,False,2,148,-0.41,-1.99,0.51,0.86,-0.62,-1.04
30,5532,Carlos Ortiz,401353224,The Memorial Tournament pres. by Nationwide,Muirfield Village Golf Club,Dublin,OH,12.0,False,T64,64.0,True,4,296,0.88,-0.44,-0.8,-0.55,-1.78,-0.9
